ID_Dia,ID_Región,Casos_Nuevos
1,7,1
2,RM,1
2,7,1
3,RM,1
4,RM,1
5,RM,1
5,RM,1
6,RM,1
6,7,1
6,10,1
7,RM,1
7,7,1
7,8,1
8,RM,1
8,RM,1
8,RM,1
8,7,1
9,RM,1
9,RM,1
9,RM,1
9,RM,1
9,7,1
9,7,1
10,RM,1
10,RM,1
10,RM,1
10,RM,1
10,RM,1
10,RM,1
10,RM,1
10,RM,1
10,RM,1
10,16,1
11,RM,1
11,RM,1
11,RM,1
11,RM,1
11,RM,1
11,RM,1
11,7,1
11,16,1
11,8,1
11,8,1
12,2,1
12,2,1
12,3,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,RM,1
12,7,1
12,16,1
12,16,1
12,11,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
13,RM,1
14,5,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,RM,1
14,16,1
